booking_id,flight_id,customer_id,seat_class,ticket_price,booking_channel,payment_method,baggage_fee,refund_amount
1,705,660,economy,-1000.0,Travel Agent,NetBanking,NA,
2,1328,174,ECONOMY ,4500.0,web site,,0,0.0
3,702,231,Business,4500.0,App,Card,799,0.0
4,1332,202,Business,8000.0,web site,UPI,499,0.0
5,745,681,Economy,8000.0,Website,NetBanking,0,500.0
6,1134,548,Economy,2500.0,web site,Card,499,500.0
7,1633,758,economy,,App,Card,NA,0.0
8,83,624,Business,-1000.0,Travel Agent,UPI,499,0.0
9,272,536,Business,2500.0,App,Card,499,
10,951,101,Economy,6200.0,Website,Card,NA,0.0
11,906,86,ECONOMY ,4500.0,Website,Card,NA,500.0
12,1166,10,ECONOMY ,2500.0,web site,Card,NA,0.0
13,516,773,ECONOMY ,-1000.0,Travel Agent,,499,500.0
14,1039,495,Business,,Travel Agent,NetBanking,499,500.0
15,564,695,Business,,web site,UPI,499,
16,14,327,ECONOMY ,8000.0,App,Card,0,
17,1379,312,Economy,8000.0,Travel Agent,Card,499,0.0
18,1563,238,economy,6200.0,Travel Agent,NetBanking,NA,0.0
19,1403,308,economy,-1000.0,App,NetBanking,499,0.0
20,1570,406,economy,4500.0,App,NetBanking,NA,
21,1597,744,Business,4500.0,Travel Agent,,799,500.0
22,297,314,Business,,Travel Agent,NetBanking,NA,500.0
23,872,577,ECONOMY ,8000.0,Website,,0,
24,725,662,economy,8000.0,Travel Agent,UPI,499,0.0
25,1356,734,Business,6200.0,Travel Agent,UPI,799,
26,1620,392,Business,-1000.0,App,Card,NA,500.0
27,219,77,economy,4500.0,Travel Agent,,NA,0.0
28,1600,676,ECONOMY ,,web site,Card,799,
29,122,104,Economy,,Travel Agent,NetBanking,799,
30,583,114,ECONOMY ,4500.0,Website,NetBanking,NA,0.0
31,1790,155,Business,-1000.0,App,UPI,NA,0.0
32,672,587,Business,-1000.0,Travel Agent,UPI,499,0.0
33,1784,717,Business,6200.0,web site,Card,499,500.0
34,960,234,ECONOMY ,6200.0,Travel Agent,Card,799,500.0
35,1237,766,Economy,4500.0,Website,,NA,
36,1651,499,Economy,-1000.0,Website,NetBanking,0,
37,66,517,Business,-1000.0,web site,NetBanking,799,0.0
38,1505,78,Economy,-1000.0,Website,Card,0,
39,1250,666,economy,2500.0,web site,NetBanking,NA,
40,1514,156,Business,2500.0,App,NetBanking,NA,
41,44,412,Business,2500.0,web site,UPI,0,0.0
42,661,438,economy,6200.0,App,NetBanking,NA,0.0
43,1577,589,Business,,App,Card,499,0.0
44,632,186,Economy,2500.0,Website,Card,799,0.0
45,671,323,economy,,App,Card,799,0.0
46,869,278,economy,4500.0,Travel Agent,UPI,499,
47,253,385,Economy,8000.0,App,,0,
48,899,409,economy,4500.0,web site,UPI,0,0.0
49,1038,593,Economy,4500.0,App,UPI,NA,500.0
50,1536,325,ECONOMY ,4500.0,App,UPI,799,
51,523,521,Economy,8000.0,Website,UPI,NA,
52,820,103,Business,6200.0,Travel Agent,UPI,NA,500.0
53,470,719,Economy,,web site,,0,500.0
54,1495,663,Business,2500.0,App,Card,499,0.0
55,263,532,economy,4500.0,web site,UPI,0,0.0
56,1775,758,Business,6200.0,web site,Card,NA,0.0
57,358,532,economy,,App,NetBanking,0,0.0
58,62,510,economy,6200.0,web site,NetBanking,799,500.0
59,59,27,Business,2500.0,web site,UPI,499,
60,96,553,ECONOMY ,-1000.0,App,Card,0,0.0
61,715,229,Economy,8000.0,Website,UPI,NA,
62,851,550,ECONOMY ,4500.0,Website,NetBanking,NA,
63,527,132,Business,,Travel Agent,UPI,NA,
64,1534,585,economy,4500.0,App,Card,499,0.0
65,1351,85,Economy,,web site,NetBanking,0,0.0
66,464,257,economy,,Travel Agent,NetBanking,NA,500.0
67,1557,135,Business,8000.0,Travel Agent,Card,0,
68,1295,50,economy,4500.0,Website,Card,0,0.0
69,332,407,Business,2500.0,web site,,799,0.0
70,1288,592,ECONOMY ,8000.0,App,,799,
71,242,763,Business,,Travel Agent,NetBanking,499,500.0
72,699,500,ECONOMY ,,Website,NetBanking,799,0.0
73,1602,375,ECONOMY ,,Website,Card,0,0.0
74,937,114,Economy,-1000.0,Travel Agent,Card,799,500.0
75,927,447,Economy,-1000.0,App,,499,0.0
